date,Pickups,Notifications ,Fraction of Notifcation that are messages (require a reply),Weekend or Weekday ,Bored (1-5),min of sleep the night before 
1/20/2026,197,336,0.637,weekday ,2,360
1/21/2026,194,344,0.637,weekday ,2,390
1/22/2026,198,356,0.685,weekday ,3,300
1/23/2026,184,389,0.686,weekday ,4,290
1/24/2026,138,258,0.574,weekend,2,245
1/25/2026,229,300,0.647,weekend,3,410
1/26/2026,230,334,0.611,weekday ,1,450
1/27/2026,223,426,0.650,weekday ,1,320
1/28/2026,189,315,0.635,weekday ,1,600
1/29/2026,204,499,0.715,weekday ,1,350
1/30/2026,168,205,0.647,weekday ,2,360
1/31/2026,256,278,0.678,weekend,1,640
2/1/2026,268,468,0.799,weekend,3,490
2/2/2026,186,259,0.798,weekday ,1,360
2/3/2026,139,244,0.711,weekday ,2,215
2/4/2026,246,179,0.725,weekday ,2,400
2/5/2026,248,259,0.745,weekday ,1,360
2/6/2026,250,359,0.689,weekday ,4,605
2/7/2026,235,457,0.723,weekend,1,650
2/8/2026,180,174,0.650,weekend,2,345
2/9/2026,151,282,0.649,weekday ,2,370
2/10/2026,154,238,0.830,weekday ,2,540
2/11/2026,108,117,0.712,weekday ,2,460
2/12/2026,214,173,0.705,weekday ,1,370
2/13/2026,152,352,0.636,weekday ,1,320
2/14/2026,153,355,0.730,weekend,3,590
2/15/2026,109,342,0.731,weekend,3,565
2/16/2026,195,403,0.734,weekeday,2,200
2/17/2026,166,637,0.808,weekday,2,260
2/18/2026,258,437,0.760,weekday,1,290
